Local Authority,Population,Transition Grant 2016-17,Additional Rural Services Delivery Grant compared with last year,Total additional Rural Services and Transition Grants 2016-17,Transition Grant per person 2016-17,Additional Rural Services Delivery Grant per person 2016-17,Total Transition Grant and Additional Rural Services Delivery Grant per person 2016-17,Transition Grant 2017-18,Additional Rural Services Delivery Grant 2017-18 compared with 2015-16,Total additional Rural Services and Transition Grants 2017-18,Transition Grant per person 2017-18,Additional Rural Services Delivery Grant per person 2017-18,Total Transition Grant and Additional Rural Services Delivery Grant per person 2017-18,Two year total Transition Grant per person,Two-year additional Rural Services Delivery Grant per person,Total two-year additional rural services delivery grant,Two year total Transition Grants,Two year total additional Rural Services and Transition Grants,Two year total additional Rural Services and Transition Grants per person
Amber Valley,"123,498",0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,0
Arun,"152,818","81,597.20",0,"81,597.16",0.53,0,0.53,"81,311.60",0,"81,311.56",0.53,0,0.53,1.07,0,-,"162,909","162,909",1.07
Ashfield,"121,553",0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,0
Ashford,"121,723","28,781.80","66,673.50","95,455.36",0.24,0.55,0.78,"28,681.50","50,774.50","79,455.99",0.24,0.42,0.65,0.47,0.96,"117,447.99","57,463","174,911",1.44
Avon Fire,,0,0,-,#DIV/0!,#DIV/0!,#DIV/0!,0,0,-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-,-,-,#DIV/0!
Aylesbury Vale,"181,084","81,194.80",0,"81,194.79",0.45,0,0.45,"80,916.60",0,"80,916.56",0.45,0,0.45,0.9,0,-,"162,111","162,111",0.9
Babergh,"88,292","22,491.90","181,969.90","204,461.82",0.25,2.06,2.32,"22,409.60","138,577.10","160,986.74",0.25,1.57,1.82,0.51,3.63,"320,547.04","44,902","365,449",4.14
Barking and Dagenham,"194,352",0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,0
Barnet,"369,088","1,422,094.60",0,"1,422,094.63",3.85,0,3.85,"1,426,571.70",0,"1,426,571.65",3.87,0,3.87,7.72,0,-,"2,848,666","2,848,666",7.72
Barnsley,"235,757",0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,0
Barrow-in-Furness,"67,831",0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,0
Basildon,"178,362","138,487.70",0,"138,487.74",0.78,0,0.78,"138,004.40",0,"138,004.39",0.77,0,0.77,1.55,0,-,"276,492","276,492",1.55
Basingstoke and Deane,"171,852","32,112.30",0,"32,112.29",0.19,0,0.19,"31,996.40",0,"31,996.43",0.19,0,0.19,0.37,0,-,"64,109","64,109",0.37
Bassetlaw,"113,654",0,"43,114.30","43,114.35",0,0.38,0.38,0,"32,833.20","32,833.23",0,0.29,0.29,0,0.67,"75,947.58",-,"75,948",0.67
Bath & North East Somerset,"180,097","936,259.70",0,"936,259.74",5.2,0,5.2,"930,074.30",0,"930,074.31",5.16,0,5.16,10.36,0,-,"1,866,334","1,866,334",10.36
Bedford,"161,383","715,321.60",0,"715,321.61",4.43,0,4.43,"715,885.80",0,"715,885.78",4.44,0,4.44,8.87,0,-,"1,431,207","1,431,207",8.87
Bedfordshire Fire,,"67,200.60",0,"67,200.59",#DIV/0!,#DIV/0!,#DIV/0!,"84,599.30",0,"84,599.33",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-,"151,800","151,800",#DIV/0!
